-12.8228214749869-0.000166028132883173i,0.0138275966610193-1.76602929341949e-06i,0.0138275966932755-1.76603196136017e-06i,0.013827596678159-1.76602688122602e-06i,0.0138275967396729-1.76601934089724e-06i,0.0138275094962329-1.76572703920686e-06i,0.0138275974889855-1.76602545170928e-06i
0.0735217506039129-2.8022204309294e-05i,0.0112887878992078+2.19080058093646e-06i,0.0112887878757347+2.19079701726315e-06i,0.011288787871699+2.19079164926784e-06i,0.0112887878347209+2.19079226947139e-06i,0.0112888253643272+2.19034247878227e-06i,0.011288787542945+2.19079264735708e-06i
0.171615317159308+1.22374733674415e-05i,-0.0242860900964285-1.35751082367479e-06i,-0.0242860901056584-1.357506074592e-06i,-0.0242860900894506-1.35750641242804e-06i,-0.0242860901038602-1.35751259306833e-06i,-0.0242860655288116-1.35768559237329e-06i,-0.0242860903190944-1.35750755882139e-06i
-0.0481283698969645-1.33534628514711e-05i,0.0155471239259292+4.22836729705414e-07i,0.0155471239408788+4.22846023752665e-07i,0.0155471239290992+4.22841041149521e-07i,0.0155471239261067+4.22848513954149e-07i,0.0155471314886591+4.23488134951357e-07i,0.0155471238744714+4.22840702162726e-07i
0.0206914225014911+4.41300698116944e-05i,-0.000525283138672798+2.912415866248e-06i,-0.000525283145427709+2.91241378235962e-06i,-0.000525283146725169+2.91241476352051e-06i,-0.000525283152593548+2.91241539794352e-06i,-0.000525266824652903+2.91140599200076e-06i,-0.000525283294776599+2.91242284003443e-06i
0.000240702189175881+1.27582555827927e-05i,-0.00151842124214618+5.41493342794377e-07i,-0.00151842124435975+5.41490862811867e-07i,-0.00151842123440489+5.41490314892333e-07i,-0.00151842121138186+5.41481894428795e-07i,-0.00151844358119968+5.41231722805267e-07i,-0.00151842105314742+5.41491180755114e-07i
0.0990118271281952-2.01580776466037e-05i,-0.00745329598532075-2.15815310413144e-06i,-0.00745329598260848-2.15815665969934e-06i,-0.00745329597383545-2.15815717108864e-06i,-0.00745329594964797-2.15815753924559e-06i,-0.00745332538614542-2.15770327056594e-06i,-0.0074532957241056-2.1581515427852e-06i
0.0463546763412527+3.20116591423998e-05i,0.000880861532210875+3.49157035711972e-06i,0.000880861517278357+3.49156837507124e-06i,0.000880861529085227+3.49157013772281e-06i,0.00088086152796177+3.49156226003251e-06i,0.000880867162902313+3.49079822781772e-06i,0.00088086146240461+3.49156868742382e-06i
-0.0118136754051773-2.6610668266407e-05i,0.00822560722542546-1.24791697911329e-07i,0.00822560722973514-1.24798051923419e-07i,0.00822560723992309-1.24795313729136e-07i,0.00822560725044567-1.24804682199463e-07i,0.00822558190075754-1.24603297914254e-07i,0.00822560743783353-1.24801165995891e-07i
0.00704283000710583+9.50728684817805e-06i,0.00677367827808891+1.64529356658284e-07i,0.00677367827538495+1.64521890090808e-07i,0.00677367829047577+1.64524497613494e-07i,0.00677367828660511+1.64518464481284e-07i,0.00677367655205155+1.64699768148428e-07i,0.0067736782847259+1.64521838017441e-07i
-0.0141395749286644-3.38649047638977e-07i,-0.00699779239862717+1.30188174224744e-06i,-0.00699779241129023+1.3018788407369e-06i,-0.00699779240284415+1.30188142149073e-06i,-0.00699779241231888+1.30187949768455e-06i,-0.00699778295970839+1.3015317294915e-06i,-0.00699779248828573+1.30188245931482e-06i
-0.0753963783695648-2.24155806678072e-05i,0.00317390859588607-2.86289966086655e-06i,0.00317390860342399-2.86289776870187e-06i,0.0031739086068256-2.8628886897212e-06i,0.00317390860041365-2.86288389912497e-06i,0.00317390654833846-2.8620978838712e-06i,0.00317390862827922-2.86290079673411e-06i
-0.00389886599613745+7.68060005271208e-06i,0.00770171787002867+3.21562164137002e-06i,0.00770171787146419+3.21562770966529e-06i,0.00770171786687107+3.21563560759544e-06i,0.00770171786044697+3.21563525063115e-06i,0.0077017245562529+3.21545074432116e-06i,0.0077017178194376+3.21563217173123e-06i
