0.00503602317254984+0.000325991696803003i,0.028879783602774-0.0117498183653106i,0.006762200028769+0.0331190025989926i,-0.0466717441908196-0.00934064438373025i,0.0395648929123034+0.0130824484917617i,0.00187857244461823-0.00189252725814336i,-0.00218062584040703-0.0218533403069799i
0.00902835486769871-0.000853447813269033i,0.0085183369563731-0.00609343038043608i,0.0163510056310635+0.00968328364002101i,0.00928512680771607+0.00261824777205993i,-0.0307040843121016+0.00131593426180489i,-0.00464589726894669-0.010606921506667i,-0.00165491057776097-0.00632331212187442i
-0.00914990595084275+0.000522421767944867i,-0.000277384834352437+0.00226116438631936i,-0.00214491794810491+0.00679706653428722i,0.0160426495517025-0.00687374020156096i,-0.0177311497294872-0.0014494749819818i,0.0296802874304181+0.002616367836401i,-0.00149831739815939+0.000858670708360213i
0.0129570478084528+0.00143267492926682i,0.028217754465915+0.00446816293092015i,-0.0305679181864056-0.0173681714646797i,0.0261611905216005-0.00471978974998455i,0.0388050170109661+0.00689720697333849i,0.0389066754330879+0.00120613205068668i,-0.00734485557065461+0.0125366062301608i
-0.0188931193991016+0.000952959510549692i,0.00220617021218911-0.0257137140153133i,-0.00318842768744584+0.0414128796334021i,0.00888192478990887-0.00293342265474125i,0.0360001131860893+0.00803939652419372i,0.0179994917996446+0.00369047641902201i,-0.0423879137355283-0.0223507197224691i
0.000229412710029717-0.000272130017758516i,0.0137947398637452-0.0268642322937215i,-0.0194398406504623+0.0113601040163205i,0.0180566311112768+0.00170392185157526i,0.0172637342830838+0.0222940260087518i,-0.00409934591499639-0.0193936156933759i,-0.0160687804967765-0.00530475418102844i
0.0187048014561982+0.00220215518784279i,0.0274617836737924+0.00307949173486403i,-0.0119153844705699-0.0177745450725788i,0.00527210756071073+0.00519721927406778i,0.0620673940672863+0.000427072932342949i,0.0361699671810751+0.00986738270877139i,0.014514796630829+0.0138829392795627i
0.0383717445726287+0.0066061774683387i,-0.0241565230679501-0.0307332108738333i,0.046181968181923+0.00786928624964148i,0.0614207422089087+0.0191892349361635i,0.0061375957386176-0.0107876431709438i,0.0662606282869735+0.024498126268702i,0.0544051902720241+0.0223333481981081i
-0.0540962451354939-0.0019639489115862i,-0.0677749053377931-0.0373792292297305i,-0.0289588629042294+0.0224668825774047i,0.0718418971036746+0.00808592854817202i,-0.0532517987175275+0.0107132878405601i,-0.0262369514445664-0.0053417425359566i,-0.0697956459963615-0.0162456645401766i
-0.015236125271408-0.000945800396568237i,-0.00640440281503405-0.0287965496545332i,-0.0618188700244083+0.0261171251143928i,0.0335080614977133-0.00592131188961641i,0.0101935391451895+0.0284482493215318i,-0.0780537851988802+0.00113259592448637i,-0.0423133491834563-0.0210158585977048i
