-3.91639961050394-0.000730230180937125i,0.974316940411847+0.0690135439208084i,0.989715125405542+0.152184413763386i,0.877216028356526-0.0694657486703411i,0.481545210333702-0.0200948738667653i,0.083204590663803+0.000934057380687303i,0.802584935672474-0.132274887103801i
-9.79239106210267e-05-0.00104808338292416i,0.0436744452759741+0.0672455229407836i,-0.0229862677423236-0.0643246379314599i,-0.00986439683510708+0.014221322512782i,-0.0120777333681717-0.0096856501967611i,0.0973401185797412-0.000559021625129352i,-0.0348215114118679-0.00757895829745753i
0.0368679889029646+0.00256162096823678i,-0.0228553224578225-0.00407031067783474i,-0.0306358333751785+0.0177780935371963i,-0.00246691635420123-0.00352309520570982i,-0.098581614019871+0.00203589163467359i,-0.0655937997747712+0.00141935032843814i,-0.025178912290565-0.010325456130382i
-0.0407581702469901-0.00356569616793715i,-0.0536213209686106-0.042347795590251i,0.044036522370846+0.014683032363308i,-0.0170724736102293+0.00333692644873804i,0.0301842144177914+0.00516851867012057i,0.0622833050081907-0.000278181895677114i,0.0560611779148979+0.0175911722020862i
-0.0305423073306185-0.00249087825723967i,0.0120591902525885+0.000823929353854095i,-0.0180386598364362+0.00653736964660032i,-0.038181521140231-0.00211547440063466i,0.015779383407596-0.00310584945909393i,0.0118277482508147-0.000645998803786708i,-0.0147803246336392-0.00392883728135119i
0.0308357142352265+0.00104456489751585i,0.018124842263628+0.00892481122755193i,-0.0193192216709382+0.00122037889514742i,0.0496284749247526-0.00151960145111714i,0.0422011381822006-0.00466211938913397i,-0.0286361422281187+0.00100250413584261i,-0.0656201236560569-0.00458077444141757i
0.0172601205018666+0.00598356923825503i,-0.0254088628205763-0.00450107732151272i,-0.0648307536534535-0.0366649987264047i,0.029337392411871+0.0149491086488258i,0.014960464633513+0.000135474977345352i,-0.0704273675575858+0.00306446009196877i,-0.0111325555680827+0.0285376389316438i
-0.0118097510881841-0.00232303662504929i,0.0207784029732527+0.0141436169403357i,-0.0268889784969752-0.00233692424858456i,0.00549632133989479+0.00834023037094155i,0.0396747218951181-0.0120054296487694i,0.013140471637797-0.00123311411736909i,-0.0934977242640475-0.00969989911334254i
0.0027241101318088+0.00220481192077075i,0.0048514792950392+0.0252254817665129i,-0.0140537724893472-0.0407228613594929i,0.0420228157934329+0.0150953361617083i,0.0755191215756631-0.0166896127282845i,0.00192108494505699+0.00107942523603794i,-0.0647886982293357+0.0170363083378362i
-0.0239244836978396+0.00288070731256773i,-0.00841108009290612+0.0286231364948421i,-0.025083800819277-0.0473483912217738i,0.0297667278033744+0.0090099356678819i,0.0228073258837614-0.00585510066857441i,0.0261792247842196+0.000720622628011586i,-0.0280921354904809+0.0177840133195756i
-0.0104079925750875-1.18799123196419e-05i,0.0344979816146253+0.00436046979912498i,-0.0336466823413473+0.000138102163059756i,0.000843130162521937+0.000172398257997293i,-0.0309373686049955+0.00725898872943548i,-0.0126212401122096+0.000127921537942599i,0.00249032176697778-0.0123709221266281i
