-3.91639961050394-0.000730230180937125i,0.974316940411847+0.0690135439208084i,0.989715125405542+0.152184413763386i,0.877216028356526-0.0694657486703411i,0.481545210333702-0.0200948738667653i,0.083204590663803+0.000934057380687303i,0.802584935672474-0.132274887103801i
0.044716832335227-0.00248087116807059i,-0.0116021488391656-0.0197427409510062i,-0.0199353544944631+0.0323066231479011i,-0.031006799642607-0.00336960830857585i,-0.0605067462710628+0.00641418590380154i,-0.0689042231747372+0.000341343955449165i,-0.0110067576583345-0.0164201439038858i
-0.0148566070585431+0.00640146348593625i,-0.0321267497229347+0.0362216611737893i,-0.0125142897540827-0.0690636042121265i,-0.000135691412956562+0.0132503218408101i,-0.0369890668629774-0.007391296791799i,0.0159499812376797+0.0021841032909768i,0.0457718169598837+0.0323901418871714i
0.0271594008807249-0.00222198154714525i,0.0183257065840232-0.0127695299703416i,-0.0500885279007571+0.025482975235071i,-0.0252021520770476-0.00710565268416437i,-0.0423847485551198+0.0185864235227523i,-0.0624059579453413-0.00063134307082715i,-0.0155605324083211-0.0257158687461498i
0.00317002184130262+0.00564980073419885i,0.00817313830610524+0.0356150482260889i,0.0247344471640869-0.00916555067453607i,0.0197570058169687+0.00784858900700464i,0.00343810371650609-0.03481921407792i,0.0125619782508737+0.000454736052042471i,-0.080720509066248+0.00402859770053301i
0.0198986714317677-0.00160698926869901i,0.0307605313070718-0.00865208435258188i,-0.0115064886691014+0.017160349371114i,-0.033210947781412-0.00473774207758579i,0.00741765164157155+0.00631822834090787i,-0.0525293434266803-0.000355426542022508i,0.0196438170719304-0.0120611879696415i
-0.0038729727378862-0.000765547303177636i,0.0101144490538835-0.0145450923759829i,0.0326342429452107+0.031240037030769i,0.0386920202202917-0.00699524186822113i,0.0158530852564098-0.00277817817578846i,0.0469716829231709-0.000923699563093846i,-0.0165485114294485-0.00722144551442403i
-0.00327280270534929+0.00385018046139259i,0.0342687957277556+0.0420196811279381i,-0.0134581489307397-0.00318886708401458i,-0.0185823062187263-0.01917258611999i,-0.0495523965612831-0.00389183116427898i,-0.015553332345928+0.000984887293912134i,-0.00968668963659196-0.0132497290164637i
-0.00449276679782132-0.00384466255464396i,0.012716935564336-0.0117050439733752i,-0.014497124833845+0.0123118512259358i,-0.00224574109366175-0.00323070233678352i,0.0037010782334363+0.0142141905055511i,0.0310420078649527-0.00129643373508537i,-0.000917623226204174-0.0140215312363368i
-0.021002784668888+0.00661164736780915i,-0.00851952098412736+0.00805550816274858i,-0.000323555461806115-0.0382714163326956i,-0.00426927874923209+0.00726345709286688i,0.0342454082128177-0.00938449694329775i,-0.0161442158962598+0.00335739653501882i,0.0594831006228404+0.0359410659975886i
-0.00220049694137798-0.000681854741785099i,-0.0906052640627433-0.0468647855193528i,0.0198620608478366+0.0323851105923392i,0.00509296742622402+0.0031508259296877i,-0.069075914976456+0.00798473742515428i,-0.061842736993348-0.000404323367958792i,0.00485910577721175+0.00277101971340225i
-0.0248200276588799+0.00227051798252487i,0.00806773640735268-0.0250453041720081i,0.0319405988003803+0.0258898326866273i,0.0358742947258677-0.00474308615312066i,-0.0153073967269577+0.0039104781472066i,0.0614884887830227+0.000402605492105866i,0.0493754280334205+0.00228852796596092i
0.0100828099088831-0.00175470570409311i,0.0277756821356208+0.00697803491166006i,-0.0242018133868745-0.0236718452748387i,0.0459289574542198+0.0016861019609216i,0.0715827611515513+0.00767450351511492i,-0.0351962960761685+0.000977514866964603i,-0.00793458644181611+0.00561390951923293i
0.0496991338635906-0.00378062824435655i,0.00333616693664355-0.0522326898537704i,0.0147468865031546+0.101988316081517i,0.0353841272478787-0.0239849192944155i,-0.0593850310011607+0.0119117864424495i,0.0259773662381679-0.00223616333974572i,-0.048422154942697-0.0407748438263022i
-0.0563565735713743-0.000953813392893654i,-0.0138565377629285+0.0101394616958445i,-0.00221833372018463-0.0138675713487641i,-0.0463810729477393-0.00223907911388639i,0.0714153958332829-0.0120065239692914i,0.0429093849690182+0.000608583282818731i,-0.0168666623838725+0.0174219920530585i
0.00734857115661294-0.000593327525744396i,-0.0053772820231259+0.0183021422639539i,0.0063260764698675-0.0148010750740611i,-0.0562235709838797-0.0033211892947679i,-0.0360833985877853+0.00304129844184916i,0.0104777001808428-0.00107490270241628i,0.0389055281692343-0.00222096860912851i
0.0209617610516165+0.000270661577951699i,-0.0479710359801584-0.0031975503482017i,0.0130559792780474+0.000932865260326545i,-0.0632405864952344-0.00320935357877436i,-0.0828298988699588+0.00139413441715403i,-0.0732601932739458+7.1529231449201e-05i,0.0508932647848875+0.00450935440673922i
0.0509881598784224+0.00316052302414366i,0.0103336502402717+0.0369210785730701i,-0.0136089154260853-0.00414499186467706i,-0.0165692637517506-0.0219226601659353i,-0.00285356105575126-0.00973953750370027i,-0.0888270679208841+0.00213932306103288i,-0.0323474435627003+0.000168612679962546i
0.0134757296702915-0.00175278945392557i,-0.0390667954649084-0.0082479771688727i,0.0241462795711448+0.035463996728935i,-0.0345328307677752-0.0198468332629334i,-0.0238439503575732-0.00627486473002291i,-0.0243844791972466+0.000134175112673186i,-0.0178542845835482-0.00273879798195172i
0.0494956015443577+0.00263644911457287i,0.0152095116984901+0.00212629227892992i,-0.0262955906770066+0.00124528478742603i,0.0140349705417444-0.000787575438981008i,-0.0844687652673263+0.00982531511148742i,-0.0405969592698897+0.000766920021841549i,0.0241760260074727-0.0110222958317975i
-0.0242594603370789+0.00201799421402922i,0.0439577174950817+0.0814214295165571i,0.0198669694466196-0.0553096275796906i,-0.0626927583878153-0.00323816647974616i,-0.0210103386643219-0.0232157254934089i,0.0456643435722839+0.00105256984335329i,0.0137392662106938+0.00229956048882246i
-0.0035292770394799-0.000761893153019905i,0.0189285809883792+0.02375061754403i,-0.0217025389668771-0.00993858931769079i,-0.0387986434462416-0.00190596923456945i,0.0306585094240503-0.0106948266186846i,0.00805106118846018-0.000368082562761489i,-0.0398598267313009-0.00184493457085972i
-0.0269820895095265-0.000734173732568452i,0.00885213634108835-0.0211500851280933i,0.00813782754559994+0.0285265717770484i,-0.0382381496470221-0.0129359324908777i,-0.023199795866732+0.0111167364277298i,0.0532220204757053+0.000531413861141454i,0.0606080139500972-0.00567156471124896i
-0.0121607666840862+0.000875140880883103i,-0.00828923428849503+0.000978851857453167i,0.0409399426430951-0.0128870353724447i,-0.016086043073205+0.0116823179594687i,-0.0610366077464242-0.00385545659977023i,0.0051212536587182+0.000669451601375162i,0.0691959733447185+0.00428013400795353i
0.0206639709624404+0.000906456626437717i,0.0225962516041205+0.0308044236789236i,0.0520210559954638-0.0302821471801709i,0.0207432322156413+0.0147759662088605i,0.0841043286158283-0.0275514695852156i,0.011265259357961-0.00017662824463505i,-0.0309924107084209+0.0125517860947013i
-0.0243468687515966+0.00079402357508431i,0.0176154675447881+0.0109153754504848i,0.0112776467239791-0.00917313809201556i,0.00598272726726061-0.01400116761474i,0.0167337771659672+0.00735942834444313i,0.0267916523866697+0.000394905889255289i,0.0504673162854292+0.00579854702548985i
0.000394222671549482-0.0013556674701651i,0.0540139296464928+0.0195148652541935i,0.00104350150314921+0.00548396754983111i,-0.0107777772162179-0.00905480015680685i,0.00765660503500014+0.000410413775940989i,0.0172490252722256-0.00127867397351934i,-0.00193652676408804-0.0165973725057727i
-0.0417922245913191-0.00194004594937781i,-0.0531394826704584-0.0033964356344195i,-0.021372251886761-0.0513792193012396i,0.0525664717828439+0.0308783779646068i,0.0328015080508426+0.00275722176111754i,0.0255196343429901-0.00101173935547102i,-0.0372934673098008+0.0190680229400775i
-0.0154712482538945-0.00127828780467575i,-0.0343387440897276-0.0174476329028442i,-0.0399640890046035-0.00817116575270939i,0.0327927679675266+0.00715700358622973i,0.0492510199319789+0.00687798315275992i,-0.0470364611116817+0.000380238574513801i,-0.0509538223156704+0.0102916664541643i
0.034363152479111+0.00299398895554688i,0.0103317878725954-0.00103209552939859i,0.00973617895149236+0.027185745769345i,0.0506518734114969-0.0139613976552774i,-0.044426467802943+0.000639192627650591i,-0.0366433279750931+0.00137002655821067i,-0.0107754350308943-0.0112888105930588i
-0.0134861786366648+0.00241210298413925i,0.0301281267735132+0.0202260592364786i,-0.0354025613706546-0.0187128435057704i,0.0253676644816672-0.00741655464639988i,0.00873596706572998+0.00772825099980295i,0.0447474907148232+0.0011436038941866i,-0.00347542184668418-0.000653413966042917i
0.0393120104295823+0.000168143639367758i,0.00900444700829903+0.00567296241993817i,-0.0106908511819154-0.0161899970135058i,0.0323105537071196+0.0062520875094999i,0.00628995710106417+0.00511096176321022i,-0.0551893510951562+0.00105133155131365i,-0.000135442316219978-0.000916032746910414i
0.00863576090481771-0.00190147747488499i,0.0451423071555864+0.0171381384242262i,0.0307433434215176-0.0033267716372995i,-0.0149863811680153+0.00824019593350524i,0.040100041043483-0.011624922510322i,0.0242922064350605-0.00083631767107852i,-0.0136764062178847-0.011532191704532i
0.0240092200947789+0.00366492267009411i,-0.0498609528969737-0.0378737927592254i,-0.0243834743758938+0.0267132102706189i,0.0520102678291679-0.00230913813339603i,-0.0602223432424717+0.0129065898053001i,0.00961181475958288+0.000134561875916344i,-0.00893738846798847+0.00329483784356316i
0.00132762946385475+0.00432278079737169i,-0.00289457563752593+0.0019174730152096i,0.0170425206275003-0.0066030179436987i,0.0240137065028285-0.00631471469039011i,-0.0230666362250709+0.00344726260760229i,0.0084435357634489+0.00110391593860474i,0.0538916671995935+0.0101342937593346i
0.0579878672140698-0.000290118489138794i,0.0366413052245093+0.0210177611597761i,0.0232710958540011-0.00649274017004134i,-0.0336418148855484+0.00525349813050109i,-0.0339353284045042-0.00643087611423342i,-0.00316257411936456-0.00091015239121826i,0.0215771566785301-0.0140645478278644i
-0.0104184228549669-0.00265739569829839i,0.00675254565242143+0.0181612159800558i,-0.0754627830608599-0.0424594120718399i,0.0186504223146364+0.00677547177719459i,0.0155119646342035+0.0156931446979274i,-0.0523784433577408+0.000625111591191522i,-0.0362076499845972-0.000476989194820896i
0.03579012354097+0.00463668273756756i,-0.0359402527948629-0.0384423073237668i,-0.0188731457377504+0.00953779127585726i,0.0332430724843245+0.00404599398845905i,-0.0435449160356589+0.0138382056409665i,-0.0631260780969178+0.00137563324766901i,0.047461849412949+0.0131467816410167i
-0.0634711807180013-0.000953549325041447i,-0.0377051527559481-0.0555888242986301i,-0.0252523650324854-0.0396506047014177i,0.0626076275446001+0.0435917496537109i,0.0866427595316321+0.0161440805259177i,0.0616945307002366+0.000649286350217763i,0.0428048821792842+0.0345911257459076i
-0.030728994894669+0.000931100324495465i,-0.00362042825787585-0.0134667599386472i,0.0246300845965575+0.0284146031086473i,-0.00127428985074406-0.0111784935206251i,-0.046370490051904+0.00427904961047733i,0.053803748493565-0.000551480861547547i,0.0338135088448048-0.00731534835426908i
0.023352297890433-0.00076393241191576i,0.0248623042529635+0.0333819738688965i,-0.015048372035969-0.025824590225013i,0.00834224362252602-0.00878700787871815i,0.00159854144523211+0.00597675356148047i,-0.0142264600298312-0.000323166074776521i,-0.00748227562118548-0.00659554792545466i
0.0473816068315986+0.00310998343252548i,-0.0372969312350763-0.00377968705953274i,0.014016062483797+0.0158513365045213i,0.0511109472328686+0.0105109798645078i,-0.0575931650705927-0.0174346335730829i,-0.039810322412028+0.00106092651199661i,-0.0758907703104823-0.00291920881294128i
0.0235976719729732+0.00595826743891834i,0.00712226342236508+0.00764851932089992i,-0.0530959999407391+0.0111127460608629i,0.00464122786855691-0.00730202607345315i,0.00874019734429544-0.0118704403508753i,-0.0211113834785563+0.00169574194078702i,-0.0748877421206918+0.00285501219064819i
0.0777529681693676+0.0021585669424534i,0.0167491969443714+0.0107263302324228i,0.0401246215717236+0.0134105821829974i,0.0418312641012335+0.00116129264365397i,-0.0692071006682871-0.00821507831249001i,-0.0102359092161467+0.000276782975175114i,-0.00296522008823145-0.0147506233131715i
0.0124534820655131+0.00159337906006033i,-0.0184147082623109+0.00895898828741097i,0.0120650256214707+0.00297117104993118i,-0.0364592331785323-0.00154932391521909i,-0.034103782421024-0.0112859702494326i,-0.0481569450871717+0.000232482533220703i,-0.00142308114304715+0.0022748639948415i
0.044222273992503-0.00044873523832554i,0.00224719421294219+0.0216356808260662i,0.0203570148193996+0.00276560745711053i,-0.0232365068582108+0.00570168763836141i,-0.038800909611332-0.0171470390614036i,-0.0413620922150127-0.000599455950015336i,-0.0459396937902085-0.013499848744471i
0.0439020157530007-0.00315773356486928i,-0.032198537060664-0.0148152033156659i,0.0344853307656341+0.0456556992810572i,-0.0180273391001783-0.00224281079045237i,-0.041481387948641-0.0136950718876316i,-0.05483810579578-0.00128265574343354i,-0.0605543012734683-0.016175961759623i
0.00674514927607866-0.00123473348963005i,0.0167351860404957+0.022655968621286i,0.0350298429317352-0.0177191612829179i,0.0319556953030767+0.0150245976926588i,-0.0095524392587574-0.00928805200364544i,0.0205406626793869-0.00107626650956354i,-0.0275208644904277-0.0104817698363641i
0.00600677549525078-0.00455228694614917i,-0.0271321305353342-0.0262569111497118i,0.0177796249667032+0.000584947716746372i,-0.027159408958724+0.0195791215340685i,0.00884387087715977+0.00101967932354799i,-0.0516385145169481-0.00130609337360668i,0.018184794961236+0.00193524430153106i
-0.0571500479543684-0.000703935994070624i,-0.046478015466303-0.0335246710937041i,-0.0415619363536393-0.0116221112482407i,0.00201387556868887+0.00868688758683409i,0.0185505247000089+0.0208226943362504i,0.0279349243755408-0.000257617050449781i,0.0223634692335096+0.0149356487029558i
-0.0282707052588705-0.000619498519454469i,-0.0584044486308016-0.0331698510980373i,-0.00519890588890762-0.0200046433390094i,0.0766904051793496+0.0255517547178903i,0.003221087334665+0.0121266039263215i,0.0147130332053485-0.000301012758584647i,-0.0104862139981907+0.0152257084764027i
0.00909107898188711+0.00947260407346909i,0.0472731447999753+0.0268879526336808i,-0.0230194780605893-0.0117357013693145i,0.0810639717029081-0.00367776564244815i,-0.0224514961690689-0.00576084522827757i,0.0317939230496267+0.0023106151466993i,-0.0193763010477819+0.000773236022897922i
0.00486164504143027+0.000718567891605728i,0.022334828647482+0.0243702194006845i,-0.0108891906377034-0.0169736599617863i,0.046323803616811-0.00141917936110902i,-0.00730195187313437+0.0012638299195047i,0.0135477584784555-0.000604323946841359i,-0.0279496268654435-0.00618310427023673i
0.0212108325195247-0.00100635050753738i,0.0264316080739855-0.00304594864382678i,0.0167683695121834+0.0435624742555219i,-0.0435283241213297-0.0101237622759764i,0.00540908899963515-0.0117788615186734i,-0.0199124268449331-0.000689882295758665i,-0.0363540094164174-0.0188396407065468i
0.00989527127893861+0.00076810586107043i,0.0293488056877716-0.0117532821070743i,-0.0084708482815284+0.0165488852766501i,-0.000986743490493454-0.0124501892814718i,0.0170695637755694+0.0151158676800818i,-0.0477549563972293-0.000782743405916011i,0.0420702507812339-0.00645919981456444i
0.0108445328446601+0.000911810961594247i,0.0263430704842098+0.019858940552992i,-0.00216050900718979+0.0074633387941898i,-0.044391951055878-0.0151832838645899i,0.054911558368133-0.0100509798711079i,0.0129805696528028-0.000140858269817984i,-0.0216238397130569-0.00107886094937837i
0.0245029392735659+0.00197517002073204i,0.032177186352526+0.0500796474483545i,0.0363966299726846-0.00429440409728672i,-0.0484958030837584-0.0168282670732633i,-0.0486682912926894-0.0180476712404539i,-0.0444252012130918+0.000796078280910093i,0.0191049915193079-0.0093828253843389i
0.00169465818501504-0.00208480058657557i,0.00640125384964057-0.0232548499227974i,-0.0130874273665261+0.0431946865344032i,-0.061560208870791-0.0121534609217048i,0.0679357162709549-0.00519439091233757i,-0.108085066694002+0.000333466428876126i,-0.0283384774292177-0.00417650468122326i
0.0455211726509543+0.000737962986144262i,0.00074854284752908+0.0130932438274069i,0.00293691569419061+0.00828597048126829i,-0.0561199956900452-0.00598418091787831i,-0.0501452943157561-0.00634199549620316i,-0.0621845567002426+0.000570967538560679i,0.00708944940446236-0.00850213328578626i
-0.0114555044800172-0.00365236554787712i,-0.0220477816329978+0.000137147605290167i,0.0259062866429877+0.0133154262388982i,-0.0496480252623143-0.00550338405975826i,-0.0233585712174519-0.0016738303185252i,-0.00687975555077347-0.00203966691097937i,1.32394692271549e-06-0.00819519401168595i
-0.0309776563663135-0.00121583006578599i,-0.0172758724462658-0.031672148788169i,-0.0108922454748673+0.0325810474329413i,-0.0355725934281461-0.00671677095915867i,-0.0479776685486017+0.011222143239489i,0.000338589830688504-0.000487238350158526i,0.0333254979051227-0.00692217327744351i
0.0165671572535433+0.00704558116713719i,0.00387997262307594-0.0260170274568936i,-0.0483232443706246+0.00893959753852112i,0.0598612240633759-0.00638708497786598i,-0.0775788479788936+0.0229457979368522i,-0.0369006705652312+0.00205173668133922i,0.0659218681589794+0.00583878823554233i
0.00274884931157712+0.00271431456668432i,-0.0046781204387988+0.0179832354757193i,-0.0330430484259644-0.0233750802965523i,0.00429938804987166-0.00268112100420918i,-0.0262783574250206+0.00306472479193375i,-0.0299928986674875+0.00141440966845971i,-0.00195462439086692+0.00544067114956373i
0.0176572313430944+0.00395576581069669i,0.0148699466004906-0.0162319030661498i,0.0333717532637955-0.00388574891392769i,0.0810145195447432-0.00244941683362085i,0.020546459291506+0.00949108457111478i,0.0552724677492321+0.00114985865093184i,0.0798174953513374+0.0165627720305936i
-0.0138549020987076-0.000233223762390865i,-0.0187713812343637-0.0171245177364589i,-0.0366231801160033-0.00474602046997145i,-0.00970574334338287+0.00325608951353071i,-0.0704577684661241+0.0229608713060228i,0.00659704087256645-0.000393866527827287i,0.0428974802111092-0.0043543563277475i
0.00922722577178543+0.00172006027124524i,0.00276425430576725+0.0252831119739719i,-0.03271464934352-0.0389092424136334i,0.0292582408990158+0.0138792664268009i,0.00466437857541761-0.00335579536234949i,-0.0461509549189364+0.000402901764796849i,-0.0411755161243234+0.00405013248445292i
0.060759109434027-0.00357329647796141i,-0.00334607860412756-0.00829778656611764i,0.0309684033712315+0.0397121399684672i,0.0350656720268215-0.0119563891050816i,-0.0439810067394743+0.00571415495868714i,-0.0204540611165949-0.00168132088537957i,-0.0310019377553815-0.0270677630200368i
0.0407711519237579+0.00572303028186793i,-0.00484303837768146+0.0266139781077557i,-0.000424271718526678-0.035298980298384i,0.10233346745503+0.00581499808607407i,-0.0838569440107171+0.0039058799536524i,-0.0284570993978178+0.00194927663628447i,0.00490474223481953+0.0027551676146669i
0.0225829362652459+0.00367039184266292i,-0.01763368192152-0.00184270787544243i,0.0393221519975882-0.00573349232644957i,0.0101183426541791+0.0126084196133219i,0.00766219878440374-0.0199088611478878i,0.0234445267903732+0.000663330693734564i,0.0046826407220264+0.0169664141882926i
0.000539001662847639+0.00350419312398665i,-0.0342431671316499-0.00687841315282456i,0.0136493512882009-0.0211603901972483i,0.0762676657262685+0.0242068318471521i,-0.0543419277929213-0.00298961169861792i,-0.00353115740310779+0.000619517065240568i,-0.00930875427544264+0.00932402698549643i
0.0220540459901582+0.00410452953441514i,0.0136592672858816+0.0188872435779024i,0.027181060682656+0.0145547031614153i,-0.0152637856819556-0.0265370234263293i,-0.0185647468412142-0.00795751719882045i,-0.0179592035322879+0.00219372775871596i,0.0305778441230244+0.00312475742812729i
-0.0476007178255077+0.00234561758983086i,-0.0146395910402263-0.0314128306088263i,-0.0598634049238786-0.00659683523800494i,0.042731997143135+0.00113954174329401i,0.0291031127483799+0.0190828100741061i,0.068028450357795+0.00145389687974292i,0.0169217766609142+0.0189870543376817i
0.0350697641125658-0.002588067091052i,0.0327365334706654+0.0497562231294369i,0.0343775130238912+0.00499645791970809i,-0.0869281111919374-0.0107397982478738i,-0.0188196943064736-0.0231567850965607i,-0.0768375482773005-0.000166267200387292i,-0.0372874799628229-0.0225170938452996i
-0.0610813179061238+0.000315744522109296i,-0.0388132286385653-0.0229686684887339i,-0.0040224787631999-0.0154182854274582i,-0.0126277454949025+0.0140749575417031i,-0.00575932483479278+0.00981723931721104i,-0.00844943702638417-0.000193965581670832i,0.0467061207962752+0.0141678153684078i
0.0290932688975812-0.00277668572387741i,-0.0293533256980213-0.0340809573657484i,0.0503406410670668+0.0340893504930916i,0.0290654934521952-0.0029484048180904i,0.00135806182042047+0.00239967422222684i,-0.0181720364306914-0.00113996087849886i,0.0160111607770042-0.000502045544275133i
