-2.50685697010972-0.00618755866574137i,-0.341895719960711-0.0199452959714011i,-0.301843176468962-0.0177925692350115i,-0.551319838349211-0.00211794444270724i,-0.534952181768185-0.000446522533685243i,0.550961384269613-0.0725958681318361i,-0.664627185168871+0.098689050618172i
0.0376595820573218+0.000396794273353017i,0.00661160070749639+0.00672076157356975i,-0.0593787264867608+0.0209647163294351i,-0.038418548922729-0.0244919781406671i,-0.0494049884331556+0.0131071725816066i,0.130210902073194+0.00624924035014925i,-0.032550381988916-0.0218072171289312i
-0.00722753671123622-0.000475815395483614i,-0.0151116705106603-0.0141945796866017i,-0.0420524714786567-0.0363472270171167i,0.0139855164733319+0.0278135694972581i,0.0434064655232863+0.0054121518046898i,0.018754785308406+0.000969945535096733i,-0.0281302898573167+0.0130112669899339i
0.0601507179228022+0.00396683462555748i,-0.0372496667725422-0.00264054427201785i,-0.0949526268709763+0.0481637850422814i,-0.125861234531698-0.0164560308605449i,-0.0559782922603511-0.0250168522613628i,0.26722236288163+0.00936530453634545i,-0.122060454507741-0.0137321996600414i
0.0493955776495729-0.00227088985195478i,-0.0432624034531803-0.0244359278147658i,0.0311724190522469+0.0356501105252836i,-0.0511411213499975+0.0138355736972443i,-0.035747111490078+0.00743834452016075i,0.155611892447672-0.00930247406626002i,-0.0581942274022733-0.0294645536853425i
0.0137335969299025-0.0001560885565017i,0.0233734220039453+0.00295267352777651i,0.0672280663554706+0.0237373438407942i,-0.0453558202166539-0.00373000247020485i,0.0258572125804316-0.00602328068562556i,0.0166721015659244-0.00337725149514785i,0.0416921366983452-0.012581560271035i
-0.0184561614517473-0.000260278105965917i,-0.0643553592412346-0.0663676552292866i,0.0430191630469383+0.0621636376943857i,0.036735599344897-0.0134481349096883i,0.0667107740963236+0.00748682582423642i,-0.153642855697533+0.00217307318159516i,0.0397115532784305+0.0127932993374902i
-0.0151914693087567-0.000151983620508517i,0.0559580451261797+0.01234561430535i,0.0843154521425522-0.0048047645002391i,0.0311253743244948-0.00577752892336914i,0.0879430936985943+0.00348581030108518i,0.0377530693036661-0.00673397285943607i,0.0499233995202781-0.00253883698905131i
-0.0127563110985225+0.000877952316816538i,0.0691678804344945+0.0405614626271931i,-0.0885603798715165-0.0364868959452457i,0.0188103150499709-0.00114343940997827i,-0.0279641480819333-0.00259502983401873i,-0.0730746867036073+0.00414324911766487i,-0.0437484232106754-0.00268819769747751i
-0.0144226879729756-0.00339022879846089i,-0.000776424743301204+0.00198826210083433i,0.0305267659945444+0.00240784512491674i,0.044365144082069-0.00378942669124904i,-0.0227610388307871+0.0106519214237661i,-0.0273373472532779-0.00559221907115228i,0.0354639796581182+0.000109906970279887i
0.027730149784451-0.00268415300807191i,-0.0205191877177678-0.00428439597913819i,0.0154896633790345+0.00913974247650967i,-0.0526206667588683+0.00481474138545448i,-0.0527982334005711+0.00716988595905846i,0.0535656710790075-0.00645031464004406i,0.0459730104949418-0.00933150208658619i
