-2.50685697010972-0.00618755866574137i,-0.341895719960711-0.0199452959714011i,-0.301843176468962-0.0177925692350115i,-0.551319838349211-0.00211794444270724i,-0.534952181768185-0.000446522533685243i,0.550961384269613-0.0725958681318361i,-0.664627185168871+0.098689050618172i
0.0020015822824054-0.000471894455144331i,0.0125065119844172-0.0130522867076671i,0.092788703704218+0.0550138669705295i,0.00779279379025285+0.00977466416763305i,-0.0526302452516556-0.0122112451216455i,0.00552553371435707-0.0089214641019835i,-0.0142522271063064-0.0290330052775055i
-0.00176852737411374-0.00107877062625788i,0.0357215516652364+0.017147795205038i,0.0451483676469324-0.0120103509317428i,0.0505729257632629-0.00855902074754392i,0.0568766938996772-0.00275115424221266i,0.0511689081730229-0.00419126002575574i,0.031006445933688+0.0115840213517975i
-0.0091723529920582+0.00373376379114381i,0.041220719135826-0.0444559236744724i,0.0318573068179552+0.0753927401612436i,-0.00766950008579536-0.0187166481624678i,0.0398773538629017+0.011837447270795i,-0.0242616208792964-0.00209592421819587i,-0.0477902422465223-0.0356553447591759i
-0.00332729580261357-0.00245828411873503i,-0.0135897367381144+0.0307851145050974i,0.0849154662670858-0.0159021218964002i,0.0404859510880559+0.000590790934280421i,0.0514252654558156-0.0181641479888476i,0.0414114376756573-0.00580880459238552i,0.0276687943871831+0.0173220732751678i
0.00475007240913747+0.00181799222015916i,-0.00751039148903226-0.0375675024119313i,-0.0259761725397241+0.00129643924042101i,-0.0192844346867857-0.0116394414610238i,0.00724214539505788+0.0350401675072305i,-0.0150396802363658+0.00800811734897807i,0.0745548232452688-0.00670808732670993i
0.0181750964404558-0.00190812928734919i,-0.0490060307604794+0.00939261136971494i,0.00767411575803349-0.0116134294579593i,0.0168699815828625+0.00389743477656167i,-0.00564000782386048-0.00803731390007143i,0.0820088552639056-0.00131884772292516i,-0.0295784016650967+0.0127403711081246i
-0.00098486917948145-0.00210541152183909i,-0.0173213939878282+0.0136554210539048i,-0.0626159131144728-0.0448138636987802i,-0.048042892894639+0.012853325861176i,-0.00842729733976882+0.00662385691161068i,-0.0313153133373201-0.00167047532492074i,0.013748740152966+0.013514733651231i
-0.0187324973641707-0.00112172579239643i,-0.0296365784209667-0.0427823123987571i,0.0486948713852359+0.00919224654653952i,0.0273928709955024+0.0242504128525668i,0.050381137901267+0.00383458239031772i,0.000592482732604159-0.00669603637330413i,0.00717719027010934+0.00793643829405736i
-0.0129759038181077-0.000600433723001895i,-0.0107112320266503+0.00405945091239325i,0.019640615220961-0.00106525427679343i,0.0120880505085162+0.00396374294401728i,0.0135206962891838-0.0154202962806104i,-0.0572173072521516-0.00224418591400093i,0.0112814391798439+0.0175400204041i
0.0165562941611712+0.00125331777720363i,-0.0101538824259738-0.020790824881403i,-0.00684619569555244+0.0413761087895579i,-0.0264586960360358-0.00858348539006451i,-0.0554479127262541+0.0180550023064877i,0.056103859436593-0.00600016072397383i,-0.0791411620037255-0.0374624288036026i
-0.0218355128660929+0.00444389859011617i,0.15111660091012+0.0616143362405668i,-0.00922170238094339-0.0393163766505952i,0.0269893537227951-0.0114072386051357i,0.0375144670958341-0.0116454839734039i,0.0350815399440733+0.00667318516583136i,0.0205850914999764-0.0082707927446332i
-0.0129954868912089-0.0012485647851391i,-0.031837704311142+0.0216953970602901i,-0.0565405079459589-0.0468675940527494i,-0.0532310793270899+0.00879899502681944i,0.0156607497767692+0.00776978304526529i,-0.0398820025641409-0.00539655288226764i,-0.0436330708829548+0.0100280739165038i
0.0367915415843791-0.000850956656610102i,-0.0559878335798645-0.00263860290923263i,0.017525820133492+0.0314409769916614i,-0.071488830768512+0.00756450428829919i,-0.0974453639484441-0.015862510366896i,0.0882103690115642-0.000724162149628733i,-0.0261692622652583-0.01715908556549i
-0.0193236154624914-0.00375058305271361i,0.0144056611599779+0.0663049480137698i,-0.0127161035992095-0.121250757497978i,0.00568058121187097+0.0304633379379344i,0.0805074970863753-0.0113592653290954i,-0.0585988981549866-0.00527381332115151i,0.0683550504416624+0.0485121654168027i
-0.0128898597006482-0.00270267988358577i,0.0382034259322471-0.00295578388581226i,0.00231609796110641+0.0098944280685062i,0.0454164927822348+0.00215978656207499i,-0.0873561115641246+0.0164927646795341i,-0.0691552509974021-0.00274435338178244i,0.0379033740640967-0.0203654420524309i
-0.0179135698073903+0.00216865739088215i,0.0188636411375602-0.0148442343570947i,0.00690380470021453+0.0104554849017812i,0.074020690573885+0.000209192698977999i,0.0501824286451493-0.00766701982846847i,-0.0388257640979192+0.00512993589406634i,-0.0313477373718569+0.00769848441549334i
-0.0107690738910874+0.00171984777278298i,0.0742774369492828+0.00326511335495949i,-0.00225306446661754+0.000324002579970299i,0.0905762152297282-0.00157790069193814i,0.0754337342666605-0.000627621608178952i,0.0568337027258393+0.00406814521647007i,-0.0391860486404573-0.00615034835862354i
0.0268859173441574-0.00261893052539817i,-0.000595771426322934-0.0296576548885549i,0.0278520818643611+0.00353349903575557i,0.0149715170628506+0.0334525418418302i,-0.0100969014247778+0.00788931757771887i,0.103844571147244-0.00465120889749162i,0.0165029866143938-0.0133866074852983i
-0.0113304193973604-0.00148573013653279i,0.0883710772539459+0.0232891726509305i,-0.0183929197624601-0.0509540226428224i,0.0530828320946052+0.0260604197246721i,0.0148693638468819+0.00283331306717398i,-0.00235633101960609-0.00041094555310588i,0.0345323737327463+0.000848616035590664i
0.00370571382913362-0.000390112274450109i,-0.0264214805527157-0.0181288337835693i,0.042776063272895+0.0231510620847839i,-0.0181692981372855-0.00995277843014689i,0.103527600974124+0.00187651609176816i,0.0471310269312756-0.0106361842692914i,-0.0240419115545499+0.00891021753770366i
-0.0293619521802598+0.0012623720226276i,-0.0207575917229923-0.0757318003330413i,0.0103681538981137+0.0640195423736254i,0.0465023754913653-0.00717630375084934i,0.0334465273542916+0.0188562709339741i,-0.0699166168697931-0.00103743622045293i,-0.0144846670678085-0.00632270070961911i
-0.00720878254497127-0.00176155510984634i,-0.00078176986753689-0.0142062364078944i,0.0474279003263292+0.0183650970683703i,0.0495208955677671-0.00335196285885561i,-0.0339503049311996+0.0109204809049702i,-0.0334230836074376-0.00326814883387548i,0.0507194311421587-0.00776616950085577i
-0.0236446824770024-0.00101353882352024i,-0.0170083091255757+0.0139929949755001i,-0.0108989201969993-0.0379773792514587i,0.0352477365478782+0.014690517382642i,0.0410045216595246-0.00516711497027753i,-0.0652829262291718-0.00537507991870123i,-0.0453425933601725+0.0203858633379206i
-0.0166548866717657+0.00343390193147762i,0.00622192956006759-0.0108672066391381i,-0.0521591255823453+0.0136545601467269i,0.00598831599059757-0.024478403312463i,0.0682385544531312+0.00568828850897131i,0.00951124311432928+0.00307925636423356i,-0.0750716434619636+0.00570387905382263i
0.0404124046932772+0.000244304914039335i,-0.0496868146904589-0.0271038250620442i,-0.10915911752943+0.0158562890567924i,-0.0490955346993209-0.0128775923339046i,-0.0797672159971589+0.0219191414057687i,0.0398184964974526+0.0114584464332694i,-0.00421305806198254-0.0104132516231325i
-0.00384354803756087-0.00163729603451206i,-0.0259926406801785-0.00626187374049953i,-0.0248913685170451+0.00157958023246026i,-0.0315801435514025+0.0198548417218434i,-0.0194517135187-0.00328588705537645i,-0.00718983755665089-0.00903302106061163i,-0.0659014651665425-0.00321574758836017i
-0.00383948173887632-0.00309306285488391i,-0.0650617592581384-0.0102834062656637i,-0.00272138264720865-0.00240795159445033i,-0.00600837732956709+0.00513400059353077i,0.0100201708511883+0.00266592733958036i,-0.0125308724270473-0.00644528518233763i,-0.0049055088270178+0.0154633486377884i
-0.00692891879817581+0.00353603057989299i,0.071484814343474+0.0123299202307129i,0.0226428221344158+0.0555817948741558i,-0.0331229080697765-0.0341137035299597i,-0.0483100017949886-0.0106428436182552i,-0.0482659409502371+0.00937524074422656i,0.0419863457783298-0.0273419470112392i
0.0124282901744799+0.00031577112362224i,0.0516093550090639+0.0285221678766865i,0.0550213149021374+0.015597407287378i,-0.0129384013881913-0.0021978831569364i,-0.0872417787194502-0.0132893670015073i,0.0436410967363041+0.000671021859964709i,0.0456807749749302-0.0263935043359181i
0.00798496398486918-0.00134169400968433i,-0.0115885485354275-0.0044594987427839i,-0.0103963326194363-0.0224835131349786i,-0.0573012137347679+0.0161171988132906i,0.0406639938702287+0.00522284332654227i,0.0607983109239996-0.00948291507061769i,-0.00365732683287513+0.0081361985021353i
-0.00939172024396131-0.00255332413232609i,-0.0458539920376083-0.0326869446992056i,0.0538457587884255+0.0306755484265691i,-0.0248998636647801+0.0163177066249555i,0.00244185284890591-0.000282649143316136i,-0.0612987450721626-0.0118121608610393i,0.00377809699405635-0.00197356877124888i
0.0280861703265721+8.2369979762033e-05i,-0.0134363925255873+0.000577355271798905i,0.00356018652704838+0.0296476725545125i,-0.0592118381130597-0.0115303597442961i,-0.00946916239410459-0.00632260817015231i,0.0884739062286676-0.00244248684065702i,-0.0206397356621646-0.00980622363336709i
0.00911174195578793-0.00044404404845251i,-0.0677269372660663-0.0134003878056747i,-0.0527805245377329-0.00152282259420426i,0.00585083154388196-0.0115998850312933i,-0.027708975280668+0.00615867515439563i,-0.00310798853432069+0.00773297635620971i,-0.0017815597628095+0.0159793930614701i
-0.00507236121943899+0.00100895623981441i,0.0456745255872342+0.0237397387997558i,0.0326567871011535-0.038663435480952i,-0.0183843031822946+0.0131173030598125i,0.0727570252029446-0.00594998940865443i,-0.0379520448987531-0.000722078870099849i,0.0279025749111378+0.00502974157453502i
0.00426830938433133+0.00184306265217085i,-0.0200820604051879-0.0102810640627474i,-0.0283725245763147-0.00586124911399545i,-0.0365330371876069+0.0142781377241459i,0.0210129903208039-0.00204475676014256i,0.0176162382552563-0.00114502648511401i,-0.0688742316873417-0.00150472336438496i
0.0161831669507445+0.000751296969191896i,-0.0661765849979951-0.0267468050335766i,-0.0460114039760189-0.00027097722780779i,0.0235065032867783-0.00805160323034413i,0.0847651698655534+0.00310785782499623i,0.0162648221403464+0.00719759630751001i,-0.0367376146937148+0.0265116691142479i
0.0075182573943596-0.0022683796732398i,0.00400784487007669-0.0096299917434131i,0.113138085794376+0.0750883259702804i,-0.0188616480851826-0.010635824966675i,-0.0344594631148752-0.0150801872886061i,0.041613508807438-0.0105385139891977i,0.0351583287308545-0.0203030912990509i
0.0237822505851614+0.000220892667270068i,0.0164174192167101+0.0274661395712317i,0.0105401929826884-0.00615229803963153i,-0.0440445023238701-0.00315277716744435i,0.0342231645568008-0.00343576341082415i,0.0964595574351216-0.0063223719216776i,-0.0478398674036361-0.0128869836605046i
0.0163328382293783+0.00343356862860665i,-0.0108790056871184+0.0361284832563278i,-0.0128343467885794+0.0428508245918208i,-0.0750363216817282-0.0447128862322613i,-0.0881128302568261-0.0122041113030281i,-0.0435532301271103+0.00452228781948658i,-0.0535273931265271-0.026063336855616i
-0.0390984878309426+5.29408532078837e-05i,0.0268248808037511+0.0111281067560037i,-0.0172486242464782-0.0300197393629966i,0.0037804556726826+0.00464672711068719i,0.0507538130521203+0.00281540601746007i,-0.0714382307630263-0.00754274464757037i,-0.01932849486752+0.0148516785974366i
0.0100359236362645-0.00140769905581086i,-0.0322689441958783-0.0256908223882139i,0.0190844552159055+0.0271844233465032i,-0.0145422769271681+0.015239859748815i,0.0101202880706156-0.0104769651145541i,0.015525081266465-0.00220189200906854i,-0.00687585737864608+0.00209514047345551i
0.00707376829152126+0.00233315698015478i,0.0536897978110605+0.000734314613409543i,-0.00945445977579502-0.0199975767240055i,-0.0234881062980801-0.01197956895837i,0.0593285116769806+0.0155778684976584i,0.0343778625037905+0.00750051884551284i,0.0784682666538803-0.000782334766842526i
0.00941884824109081-0.00362540882840424i,0.0081967111733245-0.0204258779260089i,0.0864700459211376+0.0129639146196699i,-0.00744247780791278+0.00523691695323383i,-0.00710342135419334+0.0260849304216129i,0.00703254653308629-0.0134343235330148i,0.0910342604091611-0.0174963034413791i
0.0164794514054717+0.00123608798694744i,-0.0319255034175379-0.0211115317187482i,-0.0641800622874372-0.0150788955165078i,-0.0579234469371395-0.00467694946471187i,0.107198639459924+0.00888271316349365i,0.0353748867865133+0.00268857064058529i,-0.013763035979142+0.0225434366506815i
-0.00337741444773542+0.00207506396831492i,0.0376538752764428-0.015938468432834i,0.000486225907256491+0.00264863073271424i,0.0558933980111243-0.00186450229046252i,0.0255220644167648+0.0071209887871186i,0.0402054445960511+0.00471328942566417i,-0.00293518411784291-0.0044938717713991i
-0.00127135267424174+0.00107084432353419i,0.0288705556260909-0.0116937989148439i,-0.00925746537256203+0.00617093496275467i,0.0400523916169076-0.0193255360788648i,0.0447329759485996+0.0134368169156581i,0.0284220528585235+0.00577424226247735i,0.047869115676449+0.00371043856661647i
-0.00334208014428077+0.00257492166797223i,0.069377512802208+0.0293321650437783i,-0.0272120046971083-0.0599687145849951i,0.0564578262956479-9.20280287623788e-05i,0.0334370874358831-0.000626541595476071i,0.032743205770979+0.0149060294865839i,0.0699775918790121+0.0145722561842994i
-0.00533196643312011+0.00274865425533332i,-0.00981787816056663-0.0232813061237513i,-0.0499407163169526+0.0299799636843735i,-0.023213930092291-0.0262942629445353i,0.0196491441886528+0.0034534136122104i,-0.0188956050015102+0.00689311432272308i,0.00736662079274477+0.0081650167553565i
0.00992899180217776+0.00307641716311945i,0.0441242793629422+0.032579752191149i,-0.0311095727241848+0.00895078969765342i,0.0282493004435841-0.0350016601306894i,-0.0274664571140056-0.00686376016427926i,0.0649855080404569+0.00984721009103486i,-0.0176443300900723-0.0060935885465554i
-0.0239842965329687+0.00039069390331173i,0.068895909797167+0.0412227919263227i,0.0598633060991537+0.0160914289817737i,0.018253853821674-0.0101091599257521i,-0.0347315697521818-0.0172423099311684i,-0.0693892968556189-0.00510420488002834i,0.000457190662991085-0.019058824785849i
0.00262662876601806+0.00269891978636794i,0.0557966635954016+0.0360226641226784i,-0.014803950417223+0.012244712829739i,-0.0726017221871802-0.025600218517451i,-0.0184916987724147-0.0121351832376606i,-0.0164388938837089+0.00606862082270056i,0.022002121568064-0.012769940374225i
0.00630462504297275-0.000967214662301202i,-0.0843121411667924-0.0434610925962985i,0.0378953119518845+0.0201556857388498i,-0.110854766223881+0.0072549248570773i,0.0330760632152476+0.0200501577940434i,-0.00652585101063603-0.0132493316934537i,0.00759497886152638-0.00450803881386951i
-0.000908150714133916-0.00112138591434425i,-0.0270937433031194-0.0287139665575658i,0.0158896859604046+0.0296893409896611i,-0.0505544810559487+0.00224913287888858i,0.0196272575618033-0.00025383201751734i,-0.0178743582739572-0.00384587562733287i,0.0183211069932441+0.0020420713105623i
0.00298945303060276-0.00309888234865997i,-0.0242043345476183+0.000791138541940536i,-0.0184212081745423-0.0421037487972975i,0.0495599727938383+0.00797479339560311i,-0.00801196366854939+0.0147125474887208i,0.0248184606034008+0.00143881997966756i,0.0509133920882815+0.0195462979803616i
0.0235635661897419-0.00206402147688573i,-0.049884841760232+0.00401320479071746i,-0.00972172325919653-0.000588739021162932i,-0.040945753531222+0.011320737795703i,-0.0156097169370485-0.00996807158033138i,0.0901025863134897-0.00845466572713211i,-0.0609774341594102+0.0050041483214741i
0.0159679773863851-0.00468481090972707i,-0.0264735873254009-0.0339923450940821i,-0.0162310145266389+0.00339842350614267i,0.0240752053569414+0.0173523184806982i,-0.0372133481755051+0.0205900668152371i,-0.0108463740190567-0.00720990269457068i,0.0252301987879989+0.0015630915399232i
-0.0089820007487343-4.21688535714696e-05i,-0.00917460267624909-0.0327799980851024i,-0.0152267994727411+0.00430525324907974i,0.0414339186779395+0.00859855350962535i,0.0310635866855337+0.0153749118411096i,0.0602534241702521-0.00319318806614759i,-0.0308467325543035+0.000703833618532905i
0.0179636284452456-0.00332524718476641i,0.023992905943805+0.0355110177231002i,0.0275926903447578-0.0248716045916615i,0.0572159645749808+0.00721529735789753i,-0.119821826247099+0.00541908091442931i,0.133730584233315-0.00564029304639987i,0.0265117583134161-0.0163460165580319i
0.00166400672076549+4.32665047312165e-05i,0.0219935507085404-0.0075403079618735i,0.0150870102130476+0.000749613604336629i,0.0631919712235242-0.00388820314163941i,0.0513527672317959+0.00634266003633425i,0.0588649745287448-0.000318515942385146i,-0.0029180652888804+0.00260281284547442i
-0.0220041738072839+0.00165493400639045i,0.05176162128007+0.00298083714180338i,-0.0249909286470266-0.0197055697492106i,0.0762997568053617+0.00420852202890944i,0.0220115336249781-0.00791231264121665i,-0.0260867325969128+0.00955148973044204i,0.0157186487513705+0.0146714441116652i
-0.0317888948681835+0.0015555540734225i,0.0295350735008491+0.0188756869777793i,0.0394515519571308-0.0263345608450834i,0.0558541094271406+0.00558882593731572i,0.0401219825284106-0.0109245337818649i,-0.0305391685965019-0.00115368396006493i,-0.00619670105001877+0.0132485040599984i
0.00737585749293251-0.000782139970884419i,-0.0481114051603854+0.0139188644441826i,0.070832170356936-0.00600887772596491i,-0.0773928364958848+0.00947893999953675i,0.0706857264736182-0.00615376889547426i,0.0732680955507275-0.0161882006804171i,-0.0679892688803539-0.00529549979706227i
-0.00234527707917609-0.00228015326027242i,0.0137359373223788-0.0135868504220791i,0.0547609716123766+0.0350071201539582i,0.00101985096481944-5.79028607968326e-05i,0.0201375527962211+0.00560597639932099i,0.0169321309872378-0.0103677117472641i,0.0072399155486021-0.0156634976406643i
0.0335289618489015-0.000613951820636217i,-0.08239352471234+0.0025341735948177i,-0.0928501146517942-0.0218549690517649i,-0.128003361387078+0.0191376748930003i,-0.0114250891236441-0.000944378996460001i,0.0265647930961481-0.00353070349843626i,-0.111263093896792+0.000122009434090143i
-0.026004739953621+0.00194398363944294i,0.00992407235525312+0.0173706341861433i,0.0710067450034432-0.00016605022900917i,0.0346468219776364+0.000494205860201211i,0.0757990845527179-0.0270821733604856i,-0.0403335118456207+0.00302589901071846i,-0.0174308032209349+0.0116518776030157i
0.0111429658241109+0.00390002788755144i,-0.000610337546874949-0.0276581616584859i,0.0618833136008069+0.0584251639278825i,-0.0214814695899323-0.0163575361524645i,-0.0195534566858182-0.00903422719331201i,0.044961954236603+0.00701663868570057i,0.0235172340493252-0.0175831654447441i
0.00835220485275455-0.000420910074949234i,0.00874767752652405+0.0151742955718141i,-0.0546800355894242-0.052464064569577i,-0.00927744703977375+0.0192801097147537i,0.0656502767344508-0.0130559670509738i,0.0177310151404373+0.0051102852554454i,0.0161838637463781+0.0313150152503472i
0.00837980711538284+0.00254241400805797i,-0.00178916538580484-0.0328729477773906i,0.00771903107436792+0.0482717099295553i,-0.119922010777189-0.0085496159316132i,0.086708456211512-0.0013724966729085i,0.0558592447096873-0.00425998583228395i,-0.0260624347484657-0.0114834876144507i
0.0169205084083615-0.000330103070263432i,0.00889238447893277+0.000617219893733804i,-0.0750475418858655-0.00867519140742646i,-0.0245783757614666-0.017627929227846i,-0.00231810170155749+0.0288807591014136i,-0.00265719181556048+0.00313222543318669i,-0.00296753008312443-0.011644289241803i
-0.00354085994787644+0.0042958801151075i,0.0315126647142586+0.00574565090047798i,-0.0165850516582981+0.0192073786990322i,-0.063256496313889-0.0319532503269625i,0.0431868972367206+0.00310139649606228i,0.0102871192784035+0.00714812850586288i,0.00425550922572647-0.0101327958441548i
0.00731986289086599-0.00240457447769555i,-0.015929291487379-0.0244831617608275i,-0.0337240525665793-0.0244099854388494i,-0.00611832538207464+0.0367815344985328i,0.014691559637501+0.0142097781663311i,0.0423768812778526-0.00803383466483893i,-0.0349579000241877-0.000292086696161346i
-0.00938656853856442-0.0016238133574024i,-0.00585639118065281+0.0202599028497756i,0.0773274850206822+0.0051197260690763i,-0.0448064665336804+0.00895653629494457i,-0.0297960904461669-0.00817594777922192i,-0.0861091758158451-0.0121447151754976i,0.00284630809908242-0.0142989671294662i
-0.00381338390635488-0.00147679066671574i,0.0111934196471058-0.0233582882265234i,-0.0187895083312585+0.00442483766088237i,0.0973121760891876-0.0044435514839523i,0.0123625667810846+0.0157048740271768i,0.0664682823522335+0.00285645654350765i,0.0296321915855388+0.00714613719422464i
-0.0223545144551292+0.0044012488945668i,0.0536151408323762+0.0243457217216371i,0.014295065742299+0.019497307500747i,0.0247569156419141-0.0216191948559572i,-0.0167694358258138-0.0141894157398592i,-0.00342796287195338+0.00446786202711963i,-0.0440869941673632-0.01452263580091i
0.0188239224168207-0.000941238851193367i,0.0268602441431313+0.0321682263457832i,-0.100821195784232-0.0483244172362207i,-0.0362879925722603+0.00684093977866113i,-0.00345425908157951-0.0017969786789328i,0.0488807580319008+0.00402650231825942i,-0.0233185384977983+0.00964311487710418i
