0.0315457482018415+0.00195488107796296i,-0.017946240543055-0.022554652837739i,-0.00448624372962369+0.0307028976479481i,-0.0500748611583363-0.00444075276517605i,-0.0301067289821665-0.00798559992566539i,-0.00403045679419764+0.00227148775995744i,-0.0462651080087634+0.00068464010440589i
-0.0211791484072593+0.0016877553758826i,-0.0342061222193678-0.017674348528742i,-0.0155196734952256+0.000203137855081116i,-0.00562823417728419+0.00685165647762842i,-0.034138617422921+0.00192073759788084i,-0.0376320756912049+0.000114491567069746i,0.00663796220570037+0.0014647528456213i
0.0248574107195136-0.00279603156418791i,-0.0231515423353095+0.000194229520207177i,0.00974766133969869-0.0279267352132145i,-0.0268715882320537+0.0211926400115935i,0.00757173128789022-0.00469868878294468i,-0.000999014774866064+0.0123491553135182i,0.0035606473876911+0.0238993806641752i
0.0171179430833001+0.000594898533671373i,0.0102347633438469-0.003611718202586i,-0.00251402987862576-0.0177575303644038i,-0.00956389783860884+0.0287020895592646i,0.0321257341564922-0.00903483777782188i,0.00313251898466583+0.00200634159395589i,-0.00149689141348564+0.00672979421344337i
-0.0245169863499598-0.00377769643578878i,-0.0176494910820762-0.011619015007787i,0.00170029679635147-0.00669031866834746i,-0.0547835204823367-0.000984957313492378i,0.00685713939747476+0.0070266180844861i,0.0064438929225942+0.00958222433246114i,0.0192596275691414+0.0253250263437524i
0.00141774474274082+0.000764665103721359i,0.0118221449491779+1.92590612488716e-05i,-0.0104101920602939+0.00368033890850895i,0.00998274090811919+0.00192516699756199i,-0.0148431826371198-0.00423769087801633i,-0.0145091437568919-0.00242633768331196i,-0.00596038664236708-0.00723653270435819i
0.0226470909541239+0.000868964221092851i,-0.027332973230273+0.0011093385370035i,0.00179360580082738-0.00873357932731849i,0.0325399733847099+0.000356286369727793i,0.019027450769995-0.00678015838606828i,0.0144078016317836+0.00499779870706226i,-0.03884661256772+0.00759369349977375i
-0.00730086390144594-0.000814572232570769i,0.00406456074922243+0.00128549052800086i,-0.00830651370065447-0.0120029590497013i,0.0194974441731213+0.0139841420692632i,-0.0599496434275097-0.00284701563654867i,-0.0157370775032266+0.00177380828879622i,0.00372489355722865+0.000373834802056773i
-0.012378546722099+0.000294892872712985i,0.00361020513243722+0.00367974119640186i,-0.0196514050291042-0.00589323574361978i,0.0160971710360828-0.00934139374010169i,0.0290518489132244+0.0010847652878418i,0.00615751803181328-0.000418989745192102i,0.0110468793115436+0.00379610399353573i
0.0179133202148102+0.000846717854250486i,0.00491581154060249+0.00916156162086444i,-0.00676047271402884-0.00716649699437016i,-0.0122531526552474+0.00497404066170854i,0.00429053356828993-0.00633167955837212i,-0.00292191616078646-0.00116849232875933i,-0.00522994075935239-0.00295930839280471i
0.0307335517861984+0.000855432286114994i,-0.0157283665699254+0.0282598662840354i,0.00903116490348412-0.000489543130270157i,-0.0156652271028297-0.0185678762864816i,-0.0388965157928554-0.00491285937071859i,-0.0133598445051212-0.00110673266945604i,-0.034431629206402-0.0103512470978474i
-0.0362851118653286-0.00224179449391955i,0.0258507895203984+0.0238627299374415i,0.0247904792642109-0.0386269757179627i,-0.0125951480970639+0.0238309913275987i,-0.00459605189812327-0.00781067572331751i,0.00869254980458098+0.00924745594843517i,0.0302658255006805+0.0142011881311511i
0.0127508250133976+0.000848696014526513i,0.0044228935410204+0.0282789549143567i,-0.0100122668854742-0.000234916771079418i,-0.00830257802911227-0.0149727533358378i,-0.0448423469885538-0.00557098811766222i,-0.0425326930410767-0.0019771629191869i,-0.0294261865632772-0.0145482923368988i
-0.0125122116859014-0.000339853368414776i,0.0172448032610357+0.0219906584421961i,0.00249588110362325-0.00593341800717806i,0.020760157837185-0.0248808892365604i,0.022812846342177-0.00228736038706772i,-0.00893213281321234+0.00240931322550269i,0.0087555929493955+0.00165790954064343i
0.0370823094716048+0.00159348750294112i,-0.00282141040203907+0.0137917336407244i,-0.00962712204223941-0.0111954812420278i,0.00664773717554432+0.00276377448639874i,0.0322318840502343-0.0068353949346188i,-0.0174032175190971-0.00138190507976155i,-0.0295086622832027-0.00381989280098383i
0.0203982340311445+0.00168385454930557i,-0.012046472943282+0.0180373145044391i,-0.00906221208280762+0.00168082983234432i,-0.027805650133-0.0173123923114362i,0.00628122749646531-0.000709598852693452i,-0.0240636466676508-0.00351398321685209i,-0.0130667935083019-0.010568787789956i
0.00964775986862006+0.00104989976952394i,-0.00309160159074755-0.021002651975466i,0.00647489699454936+0.026930645790546i,0.0246252140069542+0.00377384236907122i,0.0201109432354579-0.00470426361140617i,0.0166908445732123+0.000492148280608308i,-0.0349241168738508-0.00737930120254477i
-0.00334122160480816+0.00121533090030784i,-0.0188268181386526+0.0124069617991522i,-0.00170842005714313-5.57621511977236e-05i,0.00484154912878618-0.0246600524062791i,-0.0135983343293016+0.0118351474245117i,-0.0200404594506068-0.00789152291516733i,0.0275816939571883-0.00978992674421476i
0.0353301465549807+0.00308232705923914i,-0.0220806219394489-0.0144068548517593i,0.0237088505677725-0.00015469320115049i,0.0220657910430292+0.0102414895869166i,0.0288937012780542-0.010366418568116i,0.00557246719621402+0.00432547035371232i,-0.00784350777140333+0.00879834627176519i
-0.0108157963370738+0.00172776239835895i,-0.0173410210139305-0.0112130671114243i,-0.00334910208474893+0.00341981020942804i,0.0196051224629063+0.0007909198892767i,-0.0258146128662709+0.000583993136733808i,-0.0383252746441961+0.000523246599322121i,-0.000708355563734943+0.000639841557423763i
0.0256008917114145+0.00143652204202519i,0.0271859864443828+0.0285800306200411i,-0.00213299109145893-0.00812886110679127i,-0.0174414212237328+0.00799194357316387i,-0.00243886470988504-0.0103125290042719i,-0.0117765250091694-0.00292214298230745i,-0.042232992699874-0.0158753496153978i
-0.00318858456264792-0.00241793379648375i,0.023401116603767+0.000634272568148464i,0.00537150209739371-0.0355408067420651i,-0.0128589653015476+0.035165118821724i,0.00522653697182873-0.0048319312588447i,-0.0258364832220873+0.00770962047585833i,0.0401502299086201+0.019852760799199i
0.0130472640999126+0.000305648397049009i,-0.0228341527633689+0.00775173222837409i,0.0268559126820658+0.0180850982558139i,-0.0324471382380334-0.0141049135285383i,-0.0435918367775836+0.000906048671345548i,-0.0554250823513814+0.000430453700341003i,-0.023223194928031-0.0115349747429806i
-0.00548967766911509-0.00400815872337333i,0.00754421231942379+0.0232931076031737i,-0.0119314338649142-0.0339553546279618i,-0.0110975139808445+0.000223122243235968i,0.000485658938701297+0.00561809223442009i,0.020474260932538+0.00421323812729267i,0.0201406306523549+0.0143193939892543i
0.0396274308132563+0.00187908773429921i,-0.00139705034683717-0.0209562660049257i,-0.0150661801578368+0.0280485414626659i,-0.0313168337108078-0.00124343453460261i,0.00970144585687316+2.04724856517255e-05i,0.0211420992380615-0.00682461582582573i,-0.0190176578499704-0.00800450043188834i
-0.0333888879929369+0.000794767171230611i,0.00088587069586306+0.0332219888152196i,0.0172978124647951-0.0246222071993888i,0.00863086415605819-0.0105452641871456i,-0.00191629267294796-0.0042622746665372i,-0.00589103457312666+0.00167516765684838i,0.015344200926008+0.000653827127420042i
-0.0258723194698708+0.001589973407534i,0.0100183497499262-0.0158412005602243i,0.00526631486573637+0.0404228541235694i,-0.0158175551522386-0.0287503621334727i,-0.00536316254264039+0.00868134076236076i,-0.0280853820174976-0.00804341822804457i,0.0171212325647017-0.0118362621938118i
0.0544577471810436+0.00145368471130095i,-0.0152688104823218+0.00565892684986251i,-0.0267075129248736-0.0014246148710314i,0.00737810714147829+0.00883808798473971i,0.00374164730106747-0.00207462943190664i,0.0356520255654583-0.00696055864649271i,-0.0546386978423126-0.0139955073421917i
0.00320797016749007+0.00174012693092364i,-0.00447636657548755-0.0161168148077512i,-0.0141044981327212+0.0174692468061019i,0.00375511358769585-0.00858328097743027i,0.0033932028270479-0.00110781961173895i,-0.00928167995615257-0.00233719541131239i,0.00206694983118218-0.001841353890334i
0.00800280525681028+0.00157441109271724i,-0.00135405658946442-0.017531618816266i,0.0122843242328803+0.0109517698840152i,0.0164640398100886+0.00412764689426812i,0.0339245162293169-0.0102019945766806i,0.00189912804937196+0.00623197636484338i,-0.0131523598551987+0.00737189610741965i
-0.0140296950239875+0.0011294120184889i,0.0063353219738568-0.0152232694289301i,0.00272454096036107+0.000337299417250834i,-0.00233927675114213+0.0245851694347828i,0.00935498522244673-0.00725358314346609i,0.013784207421845+0.000506810087519413i,-0.013932072710032+0.00228902617268265i
