0.00396935625578442+2.86352791099311e-05i,0.00666844806764618+1.34283365007088e-06i,0.00666844827767039+1.34120029271852e-06i,0.00666844836775508+1.33914175435918e-06i,0.00666843716487998+1.34007250600006e-06i,0.00667374246063596+1.10098264685339e-06i,0.00666839759546633+1.33989185744863e-06i
0.0735765196054543+3.68915199555777e-05i,-0.0125082929465809+1.18815158387804e-06i,-0.0125082960706837+1.18918923017092e-06i,-0.0125082947809357+1.18895778974386e-06i,-0.0125083103648668+1.18811531859847e-06i,-0.0124846418795613+9.72103587665665e-07i,-0.0125085052824305+1.19015487192678e-06i
-0.0186123526603379+4.05075557434543e-05i,0.00984601703045367+2.30714393604689e-06i,0.00984601607489425+2.30606860975983e-06i,0.00984601372939851+2.30292429568358e-06i,0.00984601181234285+2.30259273777643e-06i,0.00984501716990254+1.91894189091115e-06i,0.0098460204485698+2.30640750000678e-06i
0.0314561863146+2.65503132473996e-05i,-0.00752359986941313+2.45164604919699e-06i,-0.0075236063289998+2.45215000289898e-06i,-0.00752361150443532+2.45258657839383e-06i,-0.00752360507151278+2.45376460455331e-06i,-0.00751543344585424+2.12721367808089e-06i,-0.00752366906905737+2.45658422456827e-06i
0.0582907918832692+6.02663143660085e-05i,0.0125074296134786+7.44976127400654e-06i,0.0125074128889636+7.45471144996117e-06i,0.0125074241309131+7.44617849759926e-06i,0.0125073823869225+7.44286740464012e-06i,0.0125413805295227+6.75738441338055e-06i,0.0125071037241838+7.44696574559563e-06i
0.0161632340215169-1.74674963548337e-05i,0.00892475542182475+1.45714623721117e-06i,0.00892475890847307+1.4633667455552e-06i,0.00892475869597236+1.45572895412078e-06i,0.00892473661670686+1.46016877049459e-06i,0.00893219765345744+1.28448567551304e-06i,0.00892467405984714+1.45545531906979e-06i
0.00134866360849491-5.73075884744941e-06i,-4.95915270069354e-05+5.39919350533576e-07i,-4.95962884173935e-05+5.36707861248961e-07i,-4.95948384640288e-05+5.36115260861273e-07i,-4.95918550989469e-05+5.37164210260288e-07i,-5.31349424780564e-05+5.11771421740773e-07i,-4.95676042141684e-05+5.36513638408603e-07i
0.00165320690910337+2.15566315438873e-05i,-0.024490381731791-3.81969069407991e-07i,-0.0244903812052968-3.81480637753536e-07i,-0.0244903811893787-3.80311740144928e-07i,-0.0244903791778438-3.83474641887019e-07i,-0.0244888799564269-4.60674284389654e-07i,-0.0244903945072581-3.80916053354201e-07i
-0.00654192146737284-6.2567991539807e-06i,0.0175267537465872+9.24260350533495e-07i,0.0175267577142909+9.24810341122514e-07i,0.0175267563936175+9.25204569706808e-07i,0.0175267611536619+9.2525074278228e-07i,0.0175185601862871+9.32525098071928e-07i,0.017526830412003+9.25657975491605e-07i
0.00309166724819732-1.19789355725408e-05i,0.0159645939823927-7.94573114075297e-07i,0.0159646012891035-7.96312771370146e-07i,0.0159646029308158-8.0042130482924e-07i,0.0159646017430275-8.01023106465506e-07i,0.0159501246812415-8.09770226775642e-07i,0.015964710779574-7.99136948091141e-07i
-0.0110498479619803-4.99079581423776e-05i,-0.0323349125909327-6.5661569836635e-06i,-0.0323349089718046-6.56720798419926e-06i,-0.0323349126872938-6.56085765846285e-06i,-0.0323348977880712-6.56097667552656e-06i,-0.032336148430631-6.18666947202281e-06i,-0.0323348849973764-6.56353772288569e-06i
-0.00694154626264276-4.57863931959768e-05i,-0.00218011416252886-3.26268501054342e-06i,-0.00218011223779573-3.26276241880598e-06i,-0.00218010877524988-3.26434667430424e-06i,-0.00218011286007201-3.26703745929518e-06i,-0.00218206781963617-3.15806665361182e-06i,-0.00218009638314211-3.26512767813617e-06i
0.0449749500093494-2.21087987911099e-06i,-0.0038583817821779-3.66936816937761e-07i,-0.0038583845699864-3.64525300115886e-07i,-0.00385838115913064-3.67555721216594e-07i,-0.00385838200723887-3.71332927730556e-07i,-0.00385101060646726-2.46146502882269e-07i,-0.00385844828909511-3.68816530107772e-07i
-0.0445250056115539-2.06353410106023e-05i,-0.00168768010414612-2.48389462423185e-06i,-0.00168767711014128-2.48551763662161e-06i,-0.0016876805832578-2.48054309811475e-06i,-0.00168766382535699-2.479712636034e-06i,-0.001700054836672-2.32099206362872e-06i,-0.00168756379093338-2.48105766127816e-06i
-0.0379389459824865+1.27278222567692e-05i,-0.0130599827947607-5.24875250636161e-07i,-0.0130599848292602-5.21151740178302e-07i,-0.0130599856967594-5.23948141298074e-07i,-0.0130599951197729-5.22867588324072e-07i,-0.0130516453890029-6.94361367996087e-07i,-0.0130600584240662-5.24078931288153e-07i
-0.073129307298451-1.07738527422821e-05i,0.00157775412118208-2.597616136564e-06i,0.0015777617720837-2.59965778704781e-06i,0.00157775644895103-2.59662017148347e-06i,0.00157777197681813-2.59355186935941e-06i,0.00156023264033125-2.28625951868458e-06i,0.00157792602352205-2.59617514152068e-06i
