-0.0248560896421091+0.00461023103757909i,0.00521943903576917+0.00529744178255959i,-0.0275685500673811+0.000939273203005425i,-0.0251528818320316-0.0137211623109559i,0.00453400101194036+0.00996144075450837i,0.0308274045651756+0.00057777037754019i,0.0136908405826219+0.00635566216672005i
0.0292216469579621+0.00104622530268507i,-0.0331485910694594-0.0255468844410048i,-0.00322895754483088+0.0359763713524104i,-0.0255997135756619-0.00363899045807406i,-0.0531311440281534+0.00137436737661946i,0.0147872590847988+9.44409280949578e-05i,-0.00938689333761539-0.00460058192998226i
0.0216201430517005+0.00240841157540894i,-0.01729611329654-0.0216261840721316i,0.0268440676010686+0.0379073065078926i,0.0197686507282141-0.00246147490090037i,-0.0272046812093517-0.00820385798999142i,0.00790141753543764+0.000709427926333693i,-0.0246298764193425-0.00172314164562404i
0.00914144507300263+0.00109098647609817i,-0.0443855584523316-0.0303200709135394i,-0.00506641985625077-0.0012785190201037i,-0.00431953852472996+0.00693533740734614i,-0.0200459590709826+0.0102423314471076i,-0.0315062563442413+0.00217121595396126i,0.0485502405313658+0.0169495174820131i
-0.00187633331163649+0.000979276934793691i,-0.00602037282273988+0.0136095007839556i,0.0310985095351754-0.00464577800457882i,0.015901261651022+0.00338261565644255i,0.00171114981507337-0.0145533609357918i,0.0312781830529297+0.000942849201576126i,-0.0176082396615654+0.00604362886147311i
0.0421015327934626+0.00176315511959839i,-0.0402342066387591+0.00725004706869805i,-0.000634485240462646-0.00767662895526762i,-0.046306021974856+0.00494151774916669i,-0.0255054222147607-0.0127223355182438i,0.00718607292756358+0.00171598448118473i,-0.014626068353801+0.0117513406285374i
-0.00776385398876484+0.000293930126898406i,0.0411494516209239+0.028775413816257i,0.0336803697420099+0.0010254931668506i,-0.0190295869530681-0.00987451000553895i,0.0160703801135834-0.0139506853688261i,0.0303304894034233+0.000255312407459282i,0.00384369387790339-0.00441317158622761i
0.0367350377749028-0.00230365899303064i,0.0207502667513148-0.0109149379862398i,-0.000702345422979103+0.0312925890894481i,-0.0791439669301316-0.0141606931020819i,0.00332180437179187+0.00166631004525531i,-0.00707532250193972-0.00186987082274461i,0.0287575292557288-0.0123759358180655i
-0.0112537752666804-0.00367735907862445i,-0.000590832484126089-0.0284595838660205i,-0.0277101987957392+0.0243306873246913i,0.0420852707733475+0.00817137432359614i,-0.0174531634563414+0.00760590965950474i,0.080911082812757-0.00238363958319938i,-0.0518600130720346-0.0188193029332913i
0.0362948868515203-0.00522393459175483i,-0.00492718847615467-0.0464698949143152i,0.0490705329985975+0.0553091046567256i,0.0540595566447361-0.00316552742781665i,-0.00628845949902063+0.00379082478640498i,0.0481966304830233-0.0030095700498086i,-0.00249015870749176-0.0161498412282102i
-0.00322783255373636-0.00236177004650922i,0.0307466425661146+0.00234687828937112i,-0.0340791036034144+0.00982532856304524i,0.00154070769863955-0.0105942299526119i,0.0194869195241219+0.00895543770858112i,-0.00889861977869108-0.00154065310876273i,-0.0298690253242408-0.0176503273252155i
0.0591221908269125+0.000832742887831659i,-0.019355692677135+0.0104401918921599i,0.0105677407727528-0.00325439301764941i,-0.0134046623877731+0.00418896307495499i,-0.0281228408648676-0.0105911057973269i,-0.0500954171564354+0.00204492871883389i,-0.019880893195196+0.00339253615652616i
-0.0457321928816353+0.00209686982586646i,-0.0117553435148058-0.0343258393669112i,0.00614665521806413+0.0243266753078564i,0.0252611285672233+0.00247986991525052i,0.0326151261962161+0.00387530839333931i,0.0204823699752846+0.000180876160613747i,0.00417776959487402+0.00722164875501598i
-0.0203725614351273+0.00505306478851966i,-0.00773974043197271+0.0149579066644077i,0.0331727233565243-0.0213103871728251i,0.0594592515455933+0.015822949465991i,0.0212432170903394-0.0175052957383309i,0.024888386451585+0.001759409861985i,-0.0282278458860417+0.0168346539112364i
