-4.74283866595216-0.000551165984235102i,0.917793424645112+0.0440142879500491i,0.972299369813336+0.174987031512411i,0.777452603288435-0.0769723010987349i,0.343329139247606+0.004671955186901i,0.127557991056753+0.000564938117857093i,0.892482725184239-0.147140124315456i
-0.056462247152267-0.00156667794429018i,0.00869924093562198-0.00171306852129161i,-0.0176004576174958+0.00768054544567959i,-0.0696696850837757+0.00826026910646556i,-0.0144997783098201-0.00261151064949339i,0.0108031704840543-0.000429318519886737i,-0.0160854065682106-0.0118364076818899i
0.0843885613606808-0.00466317874941824i,0.0469838579119283-0.0148093729217381i,0.0231846669233842+0.0400178553892228i,0.044510039703201-0.00795679767377027i,0.0469001363274083+0.0189921863704955i,-0.00611862963449628-0.00164905606635577i,-0.051056138475078-0.0372022205254917i
0.0102526026215172+0.00294121904108484i,0.0348068595237624+0.05036686575212i,0.00389736358597731-0.0331145410651214i,-0.0315196423251344-0.0106405907051151i,-0.0480135436379604-0.0106543192036802i,0.0105824103288821+0.000757073319164887i,0.0595644088614794+0.00489080338883011i
-0.0381116310028237-0.000660839587785546i,-0.0236901588690003-0.0102710550123402i,-0.0107062414250277+0.0290934665190445i,-0.0588479303032687-0.0194940540111165i,-0.000337137289393124+0.00118384854208662i,-0.0259715526210326+0.000413504169077011i,-0.00412189636622111-0.0012147637262401i
0.0570420849309744+0.00252171405861098i,0.020925598420557-0.00753663477034002i,-0.0327382312130336-0.0350750241187485i,0.121161849278387+0.022591592599534i,-0.0300589969586703+0.0155868337471866i,0.00352801455472987+0.000605055356647037i,0.0226765153017543+0.00518471136278248i
-0.000534720109229113+0.00346668381203911i,0.00195679924085975+0.0117418682006716i,-0.030098094675202-0.0141766294028835i,0.0323814383259191-0.00640141878204795i,0.0103444658603682-0.016353212815975i,0.000438443591315776+0.00157480413307517i,0.00100685509765305+0.0255716300155574i
-0.0268278639206297+0.00184982731772331i,-0.0254668169154706-0.0199155949099189i,-0.0107061164545939+0.00588447391959618i,0.00561630048522242+0.00960437350503542i,-0.0414821335497601-0.00133663887850678i,-0.00341003260474702+0.000456153341194285i,0.0119159551131345+0.00660991307393523i
0.0152494136209538-0.000337269657175697i,-0.0284113560656293-0.0311221630830681i,0.0113957984514555+0.0433703214423427i,0.0115380473111708-0.00936537555546052i,-0.0111752896974314+0.0103534639389879i,-0.0191266194633803-0.000356425613029593i,-0.0251577197363796-0.0127197790711022i
0.00580460014609533-0.001696186057127i,0.0645259251114438-0.0044903065221755i,-0.0260338950529476-0.00101271473862379i,-0.0121812917852512+0.00952791265199495i,0.0983840892503462+0.00929550224519912i,0.0252485332207303-0.000423745780435222i,-0.0267898833845151-0.0135729777039479i
0.0433867392898971+0.00228395938272772i,0.0335157316666515+0.0209334149958001i,0.0175325190357317+0.0121190059203636i,-0.00582439320302578-0.023550953980811i,-0.0600087856336467-0.000989656439985024i,0.0117443944854646+0.000462744589890737i,0.0589948841053837-0.00769157516421874i
