0.00355358312517501+0.00175149435037892i,-0.00786295320000476+0.0066502290415256i,0.00935897015375283-0.0271239276391351i,0.0636091432232843+0.0130140772034056i,0.029346614796629-0.00660322355098442i,0.0293615666804818+0.0016326826902822i,-0.024168884453866+0.0106032616170408i
0.00704505207766259-0.00152809961501177i,-0.004496396261825+0.00853861116099974i,0.00648573768994318+0.0117959255249045i,-0.0672650166171795-0.00333562034836732i,-0.0278132646012052-0.0125271552748024i,-0.0173763947428781+0.00236225728457341i,-0.0119477801612267+0.0011615621691537i
-0.016669453235531+0.00338880174932977i,0.00881554747943682-0.00783675807473483i,-0.00327883710057096+0.00801061253219404i,-0.0027070847638906-0.00339266814494309i,0.0236317252192602-0.00177122320880316i,-0.000718503410967449-0.000383466859365432i,-0.000432458901267405-0.0048434333537855i
0.00932057874327655+0.00132813191231721i,0.0198612748582751+0.0183338086846985i,0.000274668153207169-0.0110898711370241i,-0.012873529171234-0.00163855236593474i,0.0299655189275442-0.00676334775301007i,0.000163336675410266-0.000699708260363966i,-0.00895029405905701-0.00306780176473439i
0.032664213970864+0.00018319605923674i,-0.00843197671972274+0.0395278859875244i,-0.00134160917629161-0.0398647735488036i,-0.0196060747068249-0.00161151977747887i,-0.0137235267265622-0.00460946333473158i,0.0123529831730869-0.00203903071863923i,0.00421824457176234+0.00433679281403454i
-0.019161599904401-0.0043892685066607i,-0.0170040485159738+0.0273587877949218i,0.0317137288426118-0.0334467654518911i,-0.00291220795254988+0.0117388657511205i,-0.0668707633861857-0.0126898392258153i,-0.0121016472006091+0.00799599293599273i,0.0266242696966455+0.0184026699559326i
0.0256905648600293+0.00176372585893137i,-0.0207321153352316+0.0089892958449812i,-0.0169895590346302-0.0057675613397077i,-0.016650226567632+0.00245580821828524i,-0.00585255063373655-0.00820246676178196i,-0.0380289177928601+0.000466347046037852i,-0.0466012619729666-0.00212267557909321i
-0.0109409391269524+0.00457927754249362i,-0.000930690339082698+0.00210887874459809i,0.0222178923878355-0.00340069211095269i,0.0310156458546832+0.0041101699842846i,-0.00208909120225693-0.0140539898516505i,-0.0338686898225396+0.00456016668546525i,-0.0145881559273859-0.00143974817889103i
0.0127113154830057+0.00182126700318702i,0.0305161989332065+0.0322905064203553i,-0.00353792731341717-0.0389291751237714i,0.0233674174541826+0.00364277516803559i,0.0693805827929925-0.00498329747379882i,-0.0178541415793642-0.00161187547288543i,-0.00891938178441057+0.00200296854142283i
0.0136128824690898+0.00255041952860477i,0.0144954274994783+0.0328897656706769i,-0.0253330539177305-0.0349545759442041i,-0.0337543689994475-0.00818536705409837i,0.0318263947655676+0.00687336628556821i,-0.0117451405689494-0.00476060535876939i,0.0188400424966876-0.0061713372641248i
